"year";"orgnr";"var";"denominator";"ind_id"
2014;974795396;29;40;"hoftebrudd_dekgrad_prim_brudd"
2015;974795396;22;26;"hoftebrudd_dekgrad_prim_brudd"
2016;974795396;12;12;"hoftebrudd_dekgrad_prim_brudd"
2017;974795396;16;29;"hoftebrudd_dekgrad_prim_brudd"
2018;974795396;28;39;"hoftebrudd_dekgrad_prim_brudd"
2008;974795477;23;34;"hoftebrudd_dekgrad_prim_brudd"
2009;974795477;26;32;"hoftebrudd_dekgrad_prim_brudd"
2010;974795477;17;22;"hoftebrudd_dekgrad_prim_brudd"
2011;974795477;8;10;"hoftebrudd_dekgrad_prim_brudd"
2012;974795477;7;13;"hoftebrudd_dekgrad_prim_brudd"
2013;974795477;9;11;"hoftebrudd_dekgrad_prim_brudd"
2014;974795477;3;8;"hoftebrudd_dekgrad_prim_brudd"
2015;974795477;2;2;"hoftebrudd_dekgrad_prim_brudd"
2008;974795515;67;97;"hoftebrudd_dekgrad_prim_brudd"
2009;974795515;71;114;"hoftebrudd_dekgrad_prim_brudd"
2010;974795515;77;116;"hoftebrudd_dekgrad_prim_brudd"
2011;974795515;97;136;"hoftebrudd_dekgrad_prim_brudd"
2012;974795515;104;136;"hoftebrudd_dekgrad_prim_brudd"
2013;974795515;99;135;"hoftebrudd_dekgrad_prim_brudd"
2014;974795515;95;138;"hoftebrudd_dekgrad_prim_brudd"
2015;974795515;117;168;"hoftebrudd_dekgrad_prim_brudd"
2016;974795515;123;164;"hoftebrudd_dekgrad_prim_brudd"
2017;974795515;127;158;"hoftebrudd_dekgrad_prim_brudd"
2018;974795515;154;175;"hoftebrudd_dekgrad_prim_brudd"
2008;974795558;34;42;"hoftebrudd_dekgrad_prim_brudd"
2009;974795558;33;39;"hoftebrudd_dekgrad_prim_brudd"
2010;974795558;45;48;"hoftebrudd_dekgrad_prim_brudd"
2011;974795558;37;43;"hoftebrudd_dekgrad_prim_brudd"
2012;974795558;38;46;"hoftebrudd_dekgrad_prim_brudd"
2013;974795558;38;42;"hoftebrudd_dekgrad_prim_brudd"
2014;974795558;22;28;"hoftebrudd_dekgrad_prim_brudd"
2015;974795558;25;32;"hoftebrudd_dekgrad_prim_brudd"
2016;974795558;16;30;"hoftebrudd_dekgrad_prim_brudd"
2017;974795558;18;36;"hoftebrudd_dekgrad_prim_brudd"
2018;974795558;29;38;"hoftebrudd_dekgrad_prim_brudd"
2008;974795574;65;74;"hoftebrudd_dekgrad_prim_brudd"
2009;974795574;68;77;"hoftebrudd_dekgrad_prim_brudd"
2010;974795574;63;69;"hoftebrudd_dekgrad_prim_brudd"
2011;974795574;56;61;"hoftebrudd_dekgrad_prim_brudd"
2012;974795574;58;62;"hoftebrudd_dekgrad_prim_brudd"
2013;974795574;62;62;"hoftebrudd_dekgrad_prim_brudd"
2014;974795574;44;49;"hoftebrudd_dekgrad_prim_brudd"
2015;974795574;55;59;"hoftebrudd_dekgrad_prim_brudd"
2016;974795574;49;53;"hoftebrudd_dekgrad_prim_brudd"
2017;974795574;34;41;"hoftebrudd_dekgrad_prim_brudd"
2018;974795574;61;62;"hoftebrudd_dekgrad_prim_brudd"
2008;974795639;102;107;"hoftebrudd_dekgrad_prim_brudd"
2010;974795639;118;121;"hoftebrudd_dekgrad_prim_brudd"
2011;974795639;142;146;"hoftebrudd_dekgrad_prim_brudd"
2012;974795639;118;127;"hoftebrudd_dekgrad_prim_brudd"
2013;974795639;123;125;"hoftebrudd_dekgrad_prim_brudd"
2014;974795639;141;143;"hoftebrudd_dekgrad_prim_brudd"
2015;974795639;170;173;"hoftebrudd_dekgrad_prim_brudd"
2016;974795639;186;186;"hoftebrudd_dekgrad_prim_brudd"
2017;974795639;177;180;"hoftebrudd_dekgrad_prim_brudd"
2018;974795639;122;122;"hoftebrudd_dekgrad_prim_brudd"
2008;974795787;148;176;"hoftebrudd_dekgrad_prim_brudd"
2010;974795787;143;160;"hoftebrudd_dekgrad_prim_brudd"
2011;974795787;146;189;"hoftebrudd_dekgrad_prim_brudd"
2012;974795787;167;203;"hoftebrudd_dekgrad_prim_brudd"
2013;974795787;136;169;"hoftebrudd_dekgrad_prim_brudd"
2014;974795787;113;147;"hoftebrudd_dekgrad_prim_brudd"
2015;974795787;136;162;"hoftebrudd_dekgrad_prim_brudd"
2016;974795787;118;118;"hoftebrudd_dekgrad_prim_brudd"
2017;974795787;120;150;"hoftebrudd_dekgrad_prim_brudd"
2018;974795787;158;172;"hoftebrudd_dekgrad_prim_brudd"
2008;974795833;73;93;"hoftebrudd_dekgrad_prim_brudd"
2009;974795833;60;71;"hoftebrudd_dekgrad_prim_brudd"
2010;974795833;62;74;"hoftebrudd_dekgrad_prim_brudd"
2011;974795833;55;71;"hoftebrudd_dekgrad_prim_brudd"
2012;974795833;54;67;"hoftebrudd_dekgrad_prim_brudd"
2013;974795833;65;72;"hoftebrudd_dekgrad_prim_brudd"
2014;974795833;72;77;"hoftebrudd_dekgrad_prim_brudd"
2015;974795833;55;65;"hoftebrudd_dekgrad_prim_brudd"
2016;974795833;55;56;"hoftebrudd_dekgrad_prim_brudd"
2017;974795833;58;67;"hoftebrudd_dekgrad_prim_brudd"
2018;974795833;76;93;"hoftebrudd_dekgrad_prim_brudd"
2008;974795930;12;24;"hoftebrudd_dekgrad_prim_brudd"
2009;974795930;34;42;"hoftebrudd_dekgrad_prim_brudd"
2010;974795930;22;29;"hoftebrudd_dekgrad_prim_brudd"
2011;974795930;27;34;"hoftebrudd_dekgrad_prim_brudd"
2012;974795930;25;35;"hoftebrudd_dekgrad_prim_brudd"
2013;974795930;21;38;"hoftebrudd_dekgrad_prim_brudd"
2014;974795930;23;41;"hoftebrudd_dekgrad_prim_brudd"
2015;974795930;28;55;"hoftebrudd_dekgrad_prim_brudd"
2016;974795930;19;32;"hoftebrudd_dekgrad_prim_brudd"
2017;974795930;28;49;"hoftebrudd_dekgrad_prim_brudd"
2018;974795930;11;37;"hoftebrudd_dekgrad_prim_brudd"
2008;974798379;7;27;"hoftebrudd_dekgrad_prim_brudd"
2009;974798379;15;27;"hoftebrudd_dekgrad_prim_brudd"
2010;974798379;19;31;"hoftebrudd_dekgrad_prim_brudd"
2011;974798379;33;34;"hoftebrudd_dekgrad_prim_brudd"
2012;974798379;37;41;"hoftebrudd_dekgrad_prim_brudd"
2013;974798379;33;44;"hoftebrudd_dekgrad_prim_brudd"
2014;974798379;16;20;"hoftebrudd_dekgrad_prim_brudd"
2008;983971652;323;363;"hoftebrudd_dekgrad_prim_brudd"
2009;983971652;358;382;"hoftebrudd_dekgrad_prim_brudd"
2010;983971652;318;335;"hoftebrudd_dekgrad_prim_brudd"
2011;983971652;75;81;"hoftebrudd_dekgrad_prim_brudd"
2016;983971652;0;1;"hoftebrudd_dekgrad_prim_brudd"
2008;874632562;92;98;"hoftebrudd_dekgrad_prim_hemi"
2008;874632562;123;145;"hoftebrudd_dekgrad_prim_ost"
2009;874632562;85;90;"hoftebrudd_dekgrad_prim_hemi"
2009;874632562;110;139;"hoftebrudd_dekgrad_prim_ost"
2010;874632562;83;86;"hoftebrudd_dekgrad_prim_hemi"
2010;874632562;103;128;"hoftebrudd_dekgrad_prim_ost"
2011;874632562;65;69;"hoftebrudd_dekgrad_prim_hemi"
2011;874632562;90;117;"hoftebrudd_dekgrad_prim_ost"
2012;874632562;133;150;"hoftebrudd_dekgrad_prim_hemi"
2012;874632562;106;145;"hoftebrudd_dekgrad_prim_ost"
2013;874632562;38;91;"hoftebrudd_dekgrad_prim_hemi"
2013;874632562;64;152;"hoftebrudd_dekgrad_prim_ost"
2013;874632562;10;11;"hoftebrudd_dekgrad_prim_total"
2014;874632562;40;94;"hoftebrudd_dekgrad_prim_hemi"
2014;874632562;34;114;"hoftebrudd_dekgrad_prim_ost"
2014;874632562;6;12;"hoftebrudd_dekgrad_prim_total"
2015;874632562;63;88;"hoftebrudd_dekgrad_prim_hemi"
2015;874632562;67;123;"hoftebrudd_dekgrad_prim_ost"
2015;874632562;9;15;"hoftebrudd_dekgrad_prim_total"
2016;874632562;42;86;"hoftebrudd_dekgrad_prim_hemi"
2016;874632562;107;123;"hoftebrudd_dekgrad_prim_ost"
2016;874632562;7;17;"hoftebrudd_dekgrad_prim_total"
2017;874632562;52;77;"hoftebrudd_dekgrad_prim_hemi"
2017;874632562;74;127;"hoftebrudd_dekgrad_prim_ost"
2017;874632562;8;9;"hoftebrudd_dekgrad_prim_total"
2018;874632562;85;87;"hoftebrudd_dekgrad_prim_hemi"
2018;874632562;76;97;"hoftebrudd_dekgrad_prim_ost"
2018;874632562;12;12;"hoftebrudd_dekgrad_prim_total"
2013;874716782;0;1;"hoftebrudd_dekgrad_prim_ost"
2014;874716782;1;1;"hoftebrudd_dekgrad_prim_hemi"
2014;874716782;1;1;"hoftebrudd_dekgrad_prim_total"
2015;874716782;0;1;"hoftebrudd_dekgrad_prim_ost"
2015;874716782;1;1;"hoftebrudd_dekgrad_prim_total"
2016;874716782;1;2;"hoftebrudd_dekgrad_prim_hemi"
2016;874716782;0;1;"hoftebrudd_dekgrad_prim_ost"
2017;874716782;0;1;"hoftebrudd_dekgrad_prim_ost"
2018;874716782;0;1;"hoftebrudd_dekgrad_prim_hemi"
2018;874716782;0;1;"hoftebrudd_dekgrad_prim_ost"
2008;874743372;1;1;"hoftebrudd_dekgrad_prim_hemi"
2010;874743372;1;1;"hoftebrudd_dekgrad_prim_hemi"
2011;874743372;1;1;"hoftebrudd_dekgrad_prim_hemi"
2013;874743372;1;1;"hoftebrudd_dekgrad_prim_total"
2018;874743372;0;2;"hoftebrudd_dekgrad_prim_ost"
2018;874743372;0;2;"hoftebrudd_dekgrad_prim_total"
2010;974116588;2;2;"hoftebrudd_dekgrad_prim_hemi"
2011;974116588;3;3;"hoftebrudd_dekgrad_prim_hemi"
2012;974116588;2;2;"hoftebrudd_dekgrad_prim_hemi"
2013;974116588;1;1;"hoftebrudd_dekgrad_prim_total"
2018;974116588;0;1;"hoftebrudd_dekgrad_prim_ost"
2018;974116588;0;1;"hoftebrudd_dekgrad_prim_total"
2008;974116804;175;180;"hoftebrudd_dekgrad_prim_hemi"
2008;974116804;351;371;"hoftebrudd_dekgrad_prim_ost"
2009;974116804;198;201;"hoftebrudd_dekgrad_prim_hemi"
2009;974116804;294;300;"hoftebrudd_dekgrad_prim_ost"
2010;974116804;191;193;"hoftebrudd_dekgrad_prim_hemi"
2010;974116804;293;301;"hoftebrudd_dekgrad_prim_ost"
2011;974116804;186;194;"hoftebrudd_dekgrad_prim_hemi"
2011;974116804;292;303;"hoftebrudd_dekgrad_prim_ost"
2012;974116804;183;199;"hoftebrudd_dekgrad_prim_hemi"
2012;974116804;269;294;"hoftebrudd_dekgrad_prim_ost"
2013;974116804;152;168;"hoftebrudd_dekgrad_prim_hemi"
2013;974116804;257;303;"hoftebrudd_dekgrad_prim_ost"
2013;974116804;12;15;"hoftebrudd_dekgrad_prim_total"
2014;974116804;227;229;"hoftebrudd_dekgrad_prim_hemi"
2014;974116804;257;262;"hoftebrudd_dekgrad_prim_ost"
2014;974116804;11;15;"hoftebrudd_dekgrad_prim_total"
2015;974116804;192;199;"hoftebrudd_dekgrad_prim_hemi"
2015;974116804;300;306;"hoftebrudd_dekgrad_prim_ost"
2015;974116804;14;15;"hoftebrudd_dekgrad_prim_total"
2016;974116804;250;250;"hoftebrudd_dekgrad_prim_hemi"
2016;974116804;259;262;"hoftebrudd_dekgrad_prim_ost"
2016;974116804;12;13;"hoftebrudd_dekgrad_prim_total"
2017;974116804;181;189;"hoftebrudd_dekgrad_prim_hemi"
2017;974116804;280;286;"hoftebrudd_dekgrad_prim_ost"
2017;974116804;12;13;"hoftebrudd_dekgrad_prim_total"
2018;974116804;202;205;"hoftebrudd_dekgrad_prim_hemi"
2018;974116804;256;262;"hoftebrudd_dekgrad_prim_ost"
2018;974116804;27;29;"hoftebrudd_dekgrad_prim_total"
2008;974207532;0;1;"hoftebrudd_dekgrad_prim_ost"
2012;974207532;0;1;"hoftebrudd_dekgrad_prim_ost"
2018;974207532;2;2;"hoftebrudd_dekgrad_prim_total"
2008;974316285;68;70;"hoftebrudd_dekgrad_prim_hemi"
2008;974316285;134;146;"hoftebrudd_dekgrad_prim_ost"
2009;974316285;67;74;"hoftebrudd_dekgrad_prim_hemi"
2009;974316285;125;135;"hoftebrudd_dekgrad_prim_ost"
2010;974316285;65;66;"hoftebrudd_dekgrad_prim_hemi"
2010;974316285;135;145;"hoftebrudd_dekgrad_prim_ost"
2011;974316285;75;77;"hoftebrudd_dekgrad_prim_hemi"
2011;974316285;131;139;"hoftebrudd_dekgrad_prim_ost"
2012;974316285;77;79;"hoftebrudd_dekgrad_prim_hemi"
2012;974316285;149;157;"hoftebrudd_dekgrad_prim_ost"
2013;974316285;61;63;"hoftebrudd_dekgrad_prim_hemi"
2013;974316285;114;125;"hoftebrudd_dekgrad_prim_ost"
2013;974316285;8;8;"hoftebrudd_dekgrad_prim_total"
2014;974316285;70;75;"hoftebrudd_dekgrad_prim_hemi"
2014;974316285;100;110;"hoftebrudd_dekgrad_prim_ost"
2014;974316285;1;2;"hoftebrudd_dekgrad_prim_total"
2015;974316285;85;89;"hoftebrudd_dekgrad_prim_hemi"
2015;974316285;93;97;"hoftebrudd_dekgrad_prim_ost"
2015;974316285;4;5;"hoftebrudd_dekgrad_prim_total"
2016;974316285;74;79;"hoftebrudd_dekgrad_prim_hemi"
2016;974316285;114;140;"hoftebrudd_dekgrad_prim_ost"
2016;974316285;3;4;"hoftebrudd_dekgrad_prim_total"
2017;974316285;61;64;"hoftebrudd_dekgrad_prim_hemi"
2017;974316285;104;113;"hoftebrudd_dekgrad_prim_ost"
2017;974316285;7;8;"hoftebrudd_dekgrad_prim_total"
2018;974316285;84;88;"hoftebrudd_dekgrad_prim_hemi"
2018;974316285;89;93;"hoftebrudd_dekgrad_prim_ost"
2018;974316285;9;9;"hoftebrudd_dekgrad_prim_total"
2008;974329506;40;40;"hoftebrudd_dekgrad_prim_hemi"
2008;974329506;87;103;"hoftebrudd_dekgrad_prim_ost"
2009;974329506;40;41;"hoftebrudd_dekgrad_prim_hemi"
2009;974329506;64;71;"hoftebrudd_dekgrad_prim_ost"
2010;974329506;49;51;"hoftebrudd_dekgrad_prim_hemi"
2010;974329506;80;84;"hoftebrudd_dekgrad_prim_ost"
2011;974329506;44;47;"hoftebrudd_dekgrad_prim_hemi"
2011;974329506;91;97;"hoftebrudd_dekgrad_prim_ost"
2012;974329506;35;35;"hoftebrudd_dekgrad_prim_hemi"
2012;974329506;86;91;"hoftebrudd_dekgrad_prim_ost"
2013;974329506;43;43;"hoftebrudd_dekgrad_prim_hemi"
2013;974329506;102;104;"hoftebrudd_dekgrad_prim_ost"
2013;974329506;3;3;"hoftebrudd_dekgrad_prim_total"
2014;974329506;26;26;"hoftebrudd_dekgrad_prim_hemi"
2014;974329506;83;88;"hoftebrudd_dekgrad_prim_ost"
2014;974329506;13;13;"hoftebrudd_dekgrad_prim_total"
2015;974329506;40;43;"hoftebrudd_dekgrad_prim_hemi"
2015;974329506;65;75;"hoftebrudd_dekgrad_prim_ost"
2015;974329506;19;20;"hoftebrudd_dekgrad_prim_total"
2016;974329506;46;46;"hoftebrudd_dekgrad_prim_hemi"
2016;974329506;78;85;"hoftebrudd_dekgrad_prim_ost"
2016;974329506;7;7;"hoftebrudd_dekgrad_prim_total"
2017;974329506;45;46;"hoftebrudd_dekgrad_prim_hemi"
2017;974329506;87;96;"hoftebrudd_dekgrad_prim_ost"
2017;974329506;8;11;"hoftebrudd_dekgrad_prim_total"
2018;974329506;39;40;"hoftebrudd_dekgrad_prim_hemi"
2018;974329506;71;77;"hoftebrudd_dekgrad_prim_ost"
2018;974329506;24;26;"hoftebrudd_dekgrad_prim_total"
2008;974557746;124;129;"hoftebrudd_dekgrad_prim_hemi"
2008;974557746;258;282;"hoftebrudd_dekgrad_prim_ost"
2009;974557746;129;141;"hoftebrudd_dekgrad_prim_hemi"
2009;974557746;228;251;"hoftebrudd_dekgrad_prim_ost"
2010;974557746;127;140;"hoftebrudd_dekgrad_prim_hemi"
2010;974557746;227;255;"hoftebrudd_dekgrad_prim_ost"
2011;974557746;130;144;"hoftebrudd_dekgrad_prim_hemi"
2011;974557746;187;233;"hoftebrudd_dekgrad_prim_ost"
2012;974557746;108;109;"hoftebrudd_dekgrad_prim_hemi"
2012;974557746;202;233;"hoftebrudd_dekgrad_prim_ost"
2013;974557746;139;146;"hoftebrudd_dekgrad_prim_hemi"
2013;974557746;206;227;"hoftebrudd_dekgrad_prim_ost"
2013;974557746;8;9;"hoftebrudd_dekgrad_prim_total"
2014;974557746;126;129;"hoftebrudd_dekgrad_prim_hemi"
2014;974557746;238;255;"hoftebrudd_dekgrad_prim_ost"
2014;974557746;8;9;"hoftebrudd_dekgrad_prim_total"
2015;974557746;139;141;"hoftebrudd_dekgrad_prim_hemi"
2015;974557746;215;237;"hoftebrudd_dekgrad_prim_ost"
2015;974557746;7;9;"hoftebrudd_dekgrad_prim_total"
2016;974557746;150;151;"hoftebrudd_dekgrad_prim_hemi"
2016;974557746;218;231;"hoftebrudd_dekgrad_prim_ost"
2016;974557746;14;16;"hoftebrudd_dekgrad_prim_total"
2017;974557746;148;149;"hoftebrudd_dekgrad_prim_hemi"
2017;974557746;199;212;"hoftebrudd_dekgrad_prim_ost"
2017;974557746;18;22;"hoftebrudd_dekgrad_prim_total"
2018;974557746;120;137;"hoftebrudd_dekgrad_prim_hemi"
2018;974557746;151;188;"hoftebrudd_dekgrad_prim_ost"
2018;974557746;13;13;"hoftebrudd_dekgrad_prim_total"
2013;974589095;6;6;"hoftebrudd_dekgrad_prim_hemi"
2013;974589095;2;2;"hoftebrudd_dekgrad_prim_ost"
2013;974589095;1;1;"hoftebrudd_dekgrad_prim_total"
2014;974589095;102;110;"hoftebrudd_dekgrad_prim_hemi"
2014;974589095;140;192;"hoftebrudd_dekgrad_prim_ost"
2014;974589095;17;25;"hoftebrudd_dekgrad_prim_total"
2015;974589095;117;124;"hoftebrudd_dekgrad_prim_hemi"
2015;974589095;163;198;"hoftebrudd_dekgrad_prim_ost"
2015;974589095;17;21;"hoftebrudd_dekgrad_prim_total"
2016;974589095;100;105;"hoftebrudd_dekgrad_prim_hemi"
2016;974589095;137;166;"hoftebrudd_dekgrad_prim_ost"
2016;974589095;15;15;"hoftebrudd_dekgrad_prim_total"
2017;974589095;91;99;"hoftebrudd_dekgrad_prim_hemi"
2017;974589095;110;148;"hoftebrudd_dekgrad_prim_ost"
2017;974589095;12;12;"hoftebrudd_dekgrad_prim_total"
2018;974589095;114;115;"hoftebrudd_dekgrad_prim_hemi"
2018;974589095;125;149;"hoftebrudd_dekgrad_prim_ost"
2018;974589095;14;14;"hoftebrudd_dekgrad_prim_total"
2010;974595214;20;22;"hoftebrudd_dekgrad_prim_hemi"
2010;974595214;45;53;"hoftebrudd_dekgrad_prim_ost"
2011;974595214;30;30;"hoftebrudd_dekgrad_prim_hemi"
2011;974595214;63;74;"hoftebrudd_dekgrad_prim_ost"
2012;974595214;20;21;"hoftebrudd_dekgrad_prim_hemi"
2012;974595214;49;53;"hoftebrudd_dekgrad_prim_ost"
2013;974595214;21;21;"hoftebrudd_dekgrad_prim_hemi"
2013;974595214;48;61;"hoftebrudd_dekgrad_prim_ost"
2014;974595214;20;21;"hoftebrudd_dekgrad_prim_hemi"
2014;974595214;46;56;"hoftebrudd_dekgrad_prim_ost"
2015;974595214;30;32;"hoftebrudd_dekgrad_prim_hemi"
2015;974595214;36;43;"hoftebrudd_dekgrad_prim_ost"
2015;974595214;5;6;"hoftebrudd_dekgrad_prim_total"
2016;974595214;26;26;"hoftebrudd_dekgrad_prim_hemi"
2016;974595214;31;32;"hoftebrudd_dekgrad_prim_ost"
2016;974595214;6;6;"hoftebrudd_dekgrad_prim_total"
2017;974595214;31;31;"hoftebrudd_dekgrad_prim_hemi"
2017;974595214;23;33;"hoftebrudd_dekgrad_prim_ost"
2017;974595214;9;10;"hoftebrudd_dekgrad_prim_total"
2018;974595214;20;20;"hoftebrudd_dekgrad_prim_hemi"
2018;974595214;21;33;"hoftebrudd_dekgrad_prim_ost"
2018;974595214;4;4;"hoftebrudd_dekgrad_prim_total"
2010;974631091;61;62;"hoftebrudd_dekgrad_prim_hemi"
2010;974631091;108;124;"hoftebrudd_dekgrad_prim_ost"
2011;974631091;47;55;"hoftebrudd_dekgrad_prim_hemi"
2011;974631091;93;113;"hoftebrudd_dekgrad_prim_ost"
2012;974631091;48;51;"hoftebrudd_dekgrad_prim_hemi"
2012;974631091;95;123;"hoftebrudd_dekgrad_prim_ost"
2013;974631091;56;64;"hoftebrudd_dekgrad_prim_hemi"
2013;974631091;113;143;"hoftebrudd_dekgrad_prim_ost"
2013;974631091;1;3;"hoftebrudd_dekgrad_prim_total"
2014;974631091;52;54;"hoftebrudd_dekgrad_prim_hemi"
2014;974631091;106;145;"hoftebrudd_dekgrad_prim_ost"
2014;974631091;7;8;"hoftebrudd_dekgrad_prim_total"
2015;974631091;51;57;"hoftebrudd_dekgrad_prim_hemi"
2015;974631091;79;115;"hoftebrudd_dekgrad_prim_ost"
2015;974631091;7;7;"hoftebrudd_dekgrad_prim_total"
2016;974631091;65;65;"hoftebrudd_dekgrad_prim_hemi"
2016;974631091;91;91;"hoftebrudd_dekgrad_prim_ost"
2016;974631091;7;7;"hoftebrudd_dekgrad_prim_total"
2017;974631091;75;87;"hoftebrudd_dekgrad_prim_hemi"
2017;974631091;85;94;"hoftebrudd_dekgrad_prim_ost"
2017;974631091;5;9;"hoftebrudd_dekgrad_prim_total"
2018;974631091;48;86;"hoftebrudd_dekgrad_prim_hemi"
2018;974631091;42;97;"hoftebrudd_dekgrad_prim_ost"
2018;974631091;6;14;"hoftebrudd_dekgrad_prim_total"
2008;974631326;85;89;"hoftebrudd_dekgrad_prim_hemi"
2008;974631326;182;204;"hoftebrudd_dekgrad_prim_ost"
2009;974631326;83;86;"hoftebrudd_dekgrad_prim_hemi"
2009;974631326;192;215;"hoftebrudd_dekgrad_prim_ost"
2010;974631326;73;89;"hoftebrudd_dekgrad_prim_hemi"
2010;974631326;130;158;"hoftebrudd_dekgrad_prim_ost"
2011;974631326;83;94;"hoftebrudd_dekgrad_prim_hemi"
2011;974631326;133;152;"hoftebrudd_dekgrad_prim_ost"
2012;974631326;87;93;"hoftebrudd_dekgrad_prim_hemi"
2012;974631326;112;138;"hoftebrudd_dekgrad_prim_ost"
2013;974631326;87;94;"hoftebrudd_dekgrad_prim_hemi"
2013;974631326;121;152;"hoftebrudd_dekgrad_prim_ost"
2013;974631326;8;8;"hoftebrudd_dekgrad_prim_total"
2014;974631326;74;84;"hoftebrudd_dekgrad_prim_hemi"
2014;974631326;150;158;"hoftebrudd_dekgrad_prim_ost"
2014;974631326;7;8;"hoftebrudd_dekgrad_prim_total"
2015;974631326;84;94;"hoftebrudd_dekgrad_prim_hemi"
2015;974631326;146;157;"hoftebrudd_dekgrad_prim_ost"
2015;974631326;8;11;"hoftebrudd_dekgrad_prim_total"
2016;974631326;106;115;"hoftebrudd_dekgrad_prim_hemi"
2016;974631326;129;138;"hoftebrudd_dekgrad_prim_ost"
2016;974631326;13;14;"hoftebrudd_dekgrad_prim_total"
2017;974631326;108;111;"hoftebrudd_dekgrad_prim_hemi"
2017;974631326;124;131;"hoftebrudd_dekgrad_prim_ost"
2017;974631326;25;26;"hoftebrudd_dekgrad_prim_total"
2018;974631326;111;114;"hoftebrudd_dekgrad_prim_hemi"
2018;974631326;121;127;"hoftebrudd_dekgrad_prim_ost"
2018;974631326;22;23;"hoftebrudd_dekgrad_prim_total"
2008;974631385;40;41;"hoftebrudd_dekgrad_prim_hemi"
2008;974631385;60;73;"hoftebrudd_dekgrad_prim_ost"
2009;974631385;42;47;"hoftebrudd_dekgrad_prim_hemi"
2009;974631385;59;73;"hoftebrudd_dekgrad_prim_ost"
2010;974631385;40;43;"hoftebrudd_dekgrad_prim_hemi"
2010;974631385;50;63;"hoftebrudd_dekgrad_prim_ost"
2011;974631385;61;61;"hoftebrudd_dekgrad_prim_hemi"
2011;974631385;84;96;"hoftebrudd_dekgrad_prim_ost"
2012;974631385;47;48;"hoftebrudd_dekgrad_prim_hemi"
2012;974631385;85;89;"hoftebrudd_dekgrad_prim_ost"
2013;974631385;43;43;"hoftebrudd_dekgrad_prim_hemi"
2013;974631385;86;91;"hoftebrudd_dekgrad_prim_ost"
2013;974631385;6;6;"hoftebrudd_dekgrad_prim_total"
2014;974631385;51;51;"hoftebrudd_dekgrad_prim_hemi"
2014;974631385;67;70;"hoftebrudd_dekgrad_prim_ost"
2014;974631385;5;6;"hoftebrudd_dekgrad_prim_total"
2015;974631385;46;49;"hoftebrudd_dekgrad_prim_hemi"
2015;974631385;51;54;"hoftebrudd_dekgrad_prim_ost"
2015;974631385;4;4;"hoftebrudd_dekgrad_prim_total"
2016;974631385;31;31;"hoftebrudd_dekgrad_prim_hemi"
2016;974631385;69;71;"hoftebrudd_dekgrad_prim_ost"
2016;974631385;5;5;"hoftebrudd_dekgrad_prim_total"
2017;974631385;47;47;"hoftebrudd_dekgrad_prim_hemi"
2017;974631385;60;61;"hoftebrudd_dekgrad_prim_ost"
2017;974631385;9;10;"hoftebrudd_dekgrad_prim_total"
2018;974631385;36;36;"hoftebrudd_dekgrad_prim_hemi"
2018;974631385;70;73;"hoftebrudd_dekgrad_prim_ost"
2018;974631385;9;9;"hoftebrudd_dekgrad_prim_total"
2008;974631407;51;54;"hoftebrudd_dekgrad_prim_hemi"
2008;974631407;124;140;"hoftebrudd_dekgrad_prim_ost"
2009;974631407;49;51;"hoftebrudd_dekgrad_prim_hemi"
2009;974631407;121;135;"hoftebrudd_dekgrad_prim_ost"
2010;974631407;56;57;"hoftebrudd_dekgrad_prim_hemi"
2010;974631407;116;126;"hoftebrudd_dekgrad_prim_ost"
2011;974631407;65;65;"hoftebrudd_dekgrad_prim_hemi"
2011;974631407;84;104;"hoftebrudd_dekgrad_prim_ost"
2012;974631407;69;72;"hoftebrudd_dekgrad_prim_hemi"
2012;974631407;102;111;"hoftebrudd_dekgrad_prim_ost"
2013;974631407;77;77;"hoftebrudd_dekgrad_prim_hemi"
2013;974631407;106;114;"hoftebrudd_dekgrad_prim_ost"
2013;974631407;9;10;"hoftebrudd_dekgrad_prim_total"
2014;974631407;66;66;"hoftebrudd_dekgrad_prim_hemi"
2014;974631407;100;107;"hoftebrudd_dekgrad_prim_ost"
2014;974631407;5;6;"hoftebrudd_dekgrad_prim_total"
2015;974631407;71;71;"hoftebrudd_dekgrad_prim_hemi"
2015;974631407;128;132;"hoftebrudd_dekgrad_prim_ost"
2015;974631407;7;8;"hoftebrudd_dekgrad_prim_total"
2016;974631407;65;66;"hoftebrudd_dekgrad_prim_hemi"
2016;974631407;109;115;"hoftebrudd_dekgrad_prim_ost"
2016;974631407;4;4;"hoftebrudd_dekgrad_prim_total"
2017;974631407;64;64;"hoftebrudd_dekgrad_prim_hemi"
2017;974631407;98;104;"hoftebrudd_dekgrad_prim_ost"
2017;974631407;11;14;"hoftebrudd_dekgrad_prim_total"
2018;974631407;73;78;"hoftebrudd_dekgrad_prim_hemi"
2018;974631407;80;89;"hoftebrudd_dekgrad_prim_ost"
2018;974631407;13;14;"hoftebrudd_dekgrad_prim_total"
2008;974631768;109;118;"hoftebrudd_dekgrad_prim_hemi"
2008;974631768;186;211;"hoftebrudd_dekgrad_prim_ost"
2009;974631768;135;141;"hoftebrudd_dekgrad_prim_hemi"
2009;974631768;179;195;"hoftebrudd_dekgrad_prim_ost"
2010;974631768;106;113;"hoftebrudd_dekgrad_prim_hemi"
