"ind_id";"year";"orgnr";"var";"denominator"
"rectum_laparoskopi";"2018";974631326;20;26
"rectum_laparoskopi";"2018";974633574;22;30
"rectum_laparoskopi";"2018";974633191;22;23
"rectum_laparoskopi";"2018";974733013;18;21
"rectum_laparoskopi";"2018";983658725;5;10
"rectum_laparoskopi";"2018";974724774;7;12
"rectum_laparoskopi";"2018";974703300;36;43
"rectum_laparoskopi";"2018";974557746;41;52
"rectum_laparoskopi";"2018";983658776;0;0
"rectum_laparoskopi";"2018";974747138;26;36
"rectum_laparoskopi";"2018";974749025;28;48
"rectum_laparoskopi";"2018";974754118;6;20
"rectum_laparoskopi";"2018";883658752;1;1
"rectum_laparoskopi";"2018";974795361;37;39
"rectum_laparoskopi";"2018";974795787;45;58
"rectum_laparoskopi";"2019";1;0;0
"rectum_laparoskopi";"2019";991324968;12;15
"rectum_laparoskopi";"2019";974633752;22;22
"rectum_laparoskopi";"2019";974707152;5;24
"rectum_laparoskopi";"2019";974589095;29;32
"rectum_laparoskopi";"2019";974724960;11;12
"rectum_laparoskopi";"2019";974632535;19;20
"rectum_laparoskopi";"2019";974631326;19;21
"rectum_laparoskopi";"2019";974633574;27;28
"rectum_laparoskopi";"2019";974633191;16;16
"rectum_laparoskopi";"2019";974733013;27;30
"rectum_laparoskopi";"2019";983658725;1;9
"rectum_laparoskopi";"2019";974724774;4;10
"rectum_laparoskopi";"2019";974703300;23;27
"rectum_laparoskopi";"2019";974557746;38;45
"rectum_laparoskopi";"2019";983658776;0;0
"rectum_laparoskopi";"2019";974747138;15;17
"rectum_laparoskopi";"2019";974749025;13;18
"rectum_laparoskopi";"2019";974754118;8;12
"rectum_laparoskopi";"2019";883658752;0;0
"rectum_laparoskopi";"2019";974795361;20;20
"rectum_laparoskopi";"2019";974795787;34;42
"rectum_straale";"2018";983971768;17;43
"rectum_straale";"2018";983971636;22;70
"rectum_straale";"2018";993467049;14;34
"rectum_straale";"2018";974633752;3;11
"rectum_straale";"2018";983971709;10;56
"rectum_straale";"2018";894166762;18;56
"rectum_straale";"2018";983975267;11;30
"rectum_straale";"2018";983975259;7;36
"rectum_straale";"2018";983975240;11;24
"rectum_straale";"2018";974724774;17;47
"rectum_straale";"2018";983974694;5;16
"rectum_straale";"2018";983974724;15;54
"rectum_straale";"2018";984027737;12;22
"rectum_straale";"2018";984027737;3;15
"rectum_straale";"2018";997005562;14;42
"rectum_straale";"2018";883974832;14;46
"rectum_straale";"2018";983974791;8;25
"rectum_straale";"2018";974795361;4;17
"rectum_straale";"2018";983974910;5;34
"rectum_straale";"2018";983974899;17;39
"rectum_straale";"2019";983971768;2;36
"rectum_straale";"2019";983971636;7;51
"rectum_straale";"2019";993467049;1;22
"rectum_straale";"2019";974633752;2;15
"rectum_straale";"2019";983971709;2;54
"rectum_straale";"2019";894166762;7;49
"rectum_straale";"2019";983975267;1;22
"rectum_straale";"2019";983975259;2;42
"rectum_straale";"2019";983975240;3;34
"rectum_straale";"2019";974724774;4;43
"rectum_straale";"2019";983974694;1;27
"rectum_straale";"2019";983974724;5;35
"rectum_straale";"2019";984027737;6;17
"rectum_straale";"2019";984027737;3;21
"rectum_straale";"2019";997005562;3;34
"rectum_straale";"2019";883974832;5;37
"rectum_straale";"2019";983974791;7;20
"rectum_straale";"2019";974795361;1;11
"rectum_straale";"2019";983974910;3;26
"rectum_straale";"2019";983974899;2;28
"rectum_straale";"2019";1;1;14
"rectum_stomi";"2018";1;16;55
"rectum_stomi";"2018";974633752;14;30
"rectum_stomi";"2018";974707152;56;63
"rectum_stomi";"2018";974589095;12;44
"rectum_stomi";"2018";974724960;7;22
"rectum_stomi";"2018";974632535;2;23
"rectum_stomi";"2018";974631326;9;26
"rectum_stomi";"2018";974633574;8;30
"rectum_stomi";"2018";974633191;9;22
"rectum_stomi";"2018";974733013;5;20
"rectum_stomi";"2018";974724774;5;12
"rectum_stomi";"2018";974703300;26;41
"rectum_stomi";"2018";974557746;16;52
"rectum_stomi";"2018";974747138;8;32
"rectum_stomi";"2018";974749025;18;46
"rectum_stomi";"2018";974754118;4;20
"rectum_stomi";"2018";974795361;15;39
"rectum_stomi";"2018";974795787;40;58
"rectum_stomi";"2019";1;8;23
"rectum_stomi";"2019";974633752;9;22
"rectum_stomi";"2019";974707152;20;23
"rectum_stomi";"2019";974589095;9;29
"rectum_stomi";"2019";974724960;6;12
"rectum_stomi";"2019";974632535;7;20
"rectum_stomi";"2019";974631326;9;21
"rectum_stomi";"2019";974633574;12;28
"rectum_stomi";"2019";974633191;7;16
"rectum_stomi";"2019";974733013;10;28
"rectum_stomi";"2019";974724774;3;10
"rectum_stomi";"2019";974703300;11;26
"rectum_stomi";"2019";974557746;13;45
"rectum_stomi";"2019";974747138;9;17
"rectum_stomi";"2019";974749025;5;18
"rectum_stomi";"2019";974754118;3;12
"rectum_stomi";"2019";974795361;11;20
"rectum_stomi";"2019";974795787;26;42
"rectum_uten_tilbakefall_5aar";"2016";1;456;474
"rectum_uten_tilbakefall_5aar";"2016";974705788;68;69
"rectum_uten_tilbakefall_5aar";"2016";974707152;164;173
"rectum_uten_tilbakefall_5aar";"2016";974589095;128;133
"rectum_uten_tilbakefall_5aar";"2016";974724960;92;93
"rectum_uten_tilbakefall_5aar";"2016";974632535;88;89
"rectum_uten_tilbakefall_5aar";"2016";974631326;99;104
"rectum_uten_tilbakefall_5aar";"2016";974633574;78;81
"rectum_uten_tilbakefall_5aar";"2016";974633191;62;65
"rectum_uten_tilbakefall_5aar";"2016";974733013;109;111
"rectum_uten_tilbakefall_5aar";"2016";974724774;61;65
