"year";"orgnr";"var";"ind_id";"denominator"
2020;974795930;2;"nger_kompl_postop_lap";6
2020;974795833;1;"nger_kompl_postop_lap";12
2020;974747138;4;"nger_kompl_postop_lap";47
2020;974747545;0;"nger_kompl_postop_lap";6
2020;974557746;17;"nger_kompl_postop_lap";95
2020;974795477;2;"nger_kompl_postop_lap";20
2020;974745569;0;"nger_kompl_postop_lap";12
2020;974631326;5;"nger_kompl_postop_lap";58
2020;974631407;4;"nger_kompl_postop_lap";24
2020;974631091;0;"nger_kompl_postop_lap";24
2020;974631385;0;"nger_kompl_postop_lap";9
2020;974705788;2;"nger_kompl_postop_lap";41
2020;974744570;3;"nger_kompl_postop_lap";13
2020;974703300;3;"nger_kompl_postop_lap";60
2020;974754118;0;"nger_kompl_postop_lap";7
2020;974753898;1;"nger_kompl_postop_lap";2
2020;974743272;1;"nger_kompl_postop_lap";9
2020;974737779;2;"nger_kompl_postop_lap";19
2020;975787419;1;"nger_kompl_postop_lap";33
2020;974749025;8;"nger_kompl_postop_lap";72
2020;974633752;3;"nger_kompl_postop_lap";17
2020;974706490;2;"nger_kompl_postop_lap";74
2020;974595214;0;"nger_kompl_postop_lap";8
2020;974631768;0;"nger_kompl_postop_lap";40
2020;974632535;6;"nger_kompl_postop_lap";49
2020;974633574;6;"nger_kompl_postop_lap";58
2020;874632562;0;"nger_kompl_postop_lap";28
2020;974633221;5;"nger_kompl_postop_lap";37
2020;974631776;2;"nger_kompl_postop_lap";17
2020;974795787;2;"nger_kompl_postop_lap";19
2020;974589095;19;"nger_kompl_postop_lap";277
2020;974707152;3;"nger_kompl_postop_lap";48
2020;974795515;0;"nger_kompl_postop_lap";9
2020;974724774;6;"nger_kompl_postop_lap";42
2020;974742985;1;"nger_kompl_postop_lap";26
2020;974795639;1;"nger_kompl_postop_lap";18
2020;974795396;0;"nger_kompl_postop_lap";1
2020;974795361;4;"nger_kompl_postop_lap";36
2020;974795558;0;"nger_kompl_postop_lap";4
2016;974733013;0;"nger_kompl_postop_hys";29
2016;974795930;0;"nger_kompl_postop_hys";9
2016;974747138;0;"nger_kompl_postop_hys";1
2016;974747545;0;"nger_kompl_postop_hys";11
2016;974557746;2;"nger_kompl_postop_hys";25
2016;974795477;0;"nger_kompl_postop_hys";18
2016;974745569;2;"nger_kompl_postop_hys";22
2016;974631326;5;"nger_kompl_postop_hys";171
2016;974631091;0;"nger_kompl_postop_hys";8
2016;974744570;0;"nger_kompl_postop_hys";9
2016;974703300;1;"nger_kompl_postop_hys";16
2016;974743272;0;"nger_kompl_postop_hys";3
2016;974749025;1;"nger_kompl_postop_hys";71
2016;974706490;4;"nger_kompl_postop_hys";37
2016;974631776;0;"nger_kompl_postop_hys";5
2016;974632535;4;"nger_kompl_postop_hys";115
2016;974633574;5;"nger_kompl_postop_hys";235
2016;874632562;0;"nger_kompl_postop_hys";2
2016;974633221;0;"nger_kompl_postop_hys";2
2016;974795787;1;"nger_kompl_postop_hys";37
2016;974589095;5;"nger_kompl_postop_hys";231
2016;974795515;1;"nger_kompl_postop_hys";18
2016;974724774;4;"nger_kompl_postop_hys";103
2016;974795361;0;"nger_kompl_postop_hys";28
2017;974733013;2;"nger_kompl_postop_hys";43
2017;974795930;1;"nger_kompl_postop_hys";5
2017;974795833;2;"nger_kompl_postop_hys";11
2017;974747138;0;"nger_kompl_postop_hys";1
2017;974747545;0;"nger_kompl_postop_hys";1
2017;974557746;1;"nger_kompl_postop_hys";19
2017;974795477;0;"nger_kompl_postop_hys";15
2017;974745569;2;"nger_kompl_postop_hys";33
2017;974631326;7;"nger_kompl_postop_hys";222
2017;974631091;1;"nger_kompl_postop_hys";23
2017;974705788;1;"nger_kompl_postop_hys";50
2017;974744570;0;"nger_kompl_postop_hys";6
2017;974703300;1;"nger_kompl_postop_hys";56
2017;974743272;0;"nger_kompl_postop_hys";9
2017;974737779;6;"nger_kompl_postop_hys";75
2017;974749025;7;"nger_kompl_postop_hys";167
2017;974633752;0;"nger_kompl_postop_hys";1
2017;974706490;3;"nger_kompl_postop_hys";155
2017;974595214;0;"nger_kompl_postop_hys";2
2017;974631776;1;"nger_kompl_postop_hys";15
2017;974631768;0;"nger_kompl_postop_hys";4
2017;974632535;4;"nger_kompl_postop_hys";92
2017;974633574;6;"nger_kompl_postop_hys";221
2017;874632562;0;"nger_kompl_postop_hys";41
2017;974633221;0;"nger_kompl_postop_hys";2
2017;974795787;1;"nger_kompl_postop_hys";52
2017;974589095;3;"nger_kompl_postop_hys";247
2017;974795515;0;"nger_kompl_postop_hys";13
2017;974724774;2;"nger_kompl_postop_hys";99
2017;974795361;2;"nger_kompl_postop_hys";45
2018;974733013;0;"nger_kompl_postop_hys";56
2018;974795930;0;"nger_kompl_postop_hys";3
2018;974795833;2;"nger_kompl_postop_hys";28
2018;974747545;0;"nger_kompl_postop_hys";5
2018;974557746;1;"nger_kompl_postop_hys";30
2018;974795477;0;"nger_kompl_postop_hys";23
2018;974745569;0;"nger_kompl_postop_hys";10
2018;974631326;5;"nger_kompl_postop_hys";169
2018;974631407;1;"nger_kompl_postop_hys";16
2018;974631091;1;"nger_kompl_postop_hys";21
2018;974705788;2;"nger_kompl_postop_hys";90
2018;974744570;0;"nger_kompl_postop_hys";2
