"orgnr";"year";"ind_id";"var";"denominator"
974633558;2019;"korsband_preop_ant";40;40
974633698;2015;"korsband_preop_ant";41;41
974633698;2016;"korsband_preop_ant";23;23
974633698;2017;"korsband_preop_ant";58;58
974633698;2018;"korsband_preop_ant";44;44
974633698;2019;"korsband_preop_ant";49;49
974703300;2015;"korsband_preop_ant";46;46
974703300;2016;"korsband_preop_ant";66;66
974703300;2017;"korsband_preop_ant";58;58
974703300;2018;"korsband_preop_ant";95;95
974703300;2019;"korsband_preop_ant";83;83
974705788;2015;"korsband_preop_ant";28;28
974705788;2016;"korsband_preop_ant";30;30
974705788;2017;"korsband_preop_ant";45;45
974705788;2018;"korsband_preop_ant";23;23
974705788;2019;"korsband_preop_ant";28;28
974706490;2015;"korsband_preop_ant";59;60
974706490;2016;"korsband_preop_ant";68;68
974706490;2017;"korsband_preop_ant";76;76
974706490;2018;"korsband_preop_ant";87;87
974706490;2019;"korsband_preop_ant";65;65
974724774;2015;"korsband_preop_ant";24;24
974724774;2016;"korsband_preop_ant";14;14
974724774;2017;"korsband_preop_ant";20;20
974724774;2018;"korsband_preop_ant";24;24
974724774;2019;"korsband_preop_ant";35;35
974725215;2018;"korsband_preop_ant";8;8
974725215;2019;"korsband_preop_ant";9;9
974733013;2015;"korsband_preop_ant";17;17
974733013;2016;"korsband_preop_ant";25;25
974733013;2017;"korsband_preop_ant";28;28
974733013;2018;"korsband_preop_ant";34;34
974733013;2019;"korsband_preop_ant";42;42
974744570;2016;"korsband_preop_ant";3;3
974745089;2015;"korsband_preop_ant";7;8
974745089;2016;"korsband_preop_ant";13;13
974745089;2017;"korsband_preop_ant";27;28
974745089;2018;"korsband_preop_ant";17;19
974745089;2019;"korsband_preop_ant";26;26
974746948;2015;"korsband_preop_ant";26;26
974746948;2016;"korsband_preop_ant";30;30
974746948;2017;"korsband_preop_ant";18;18
974746948;2018;"korsband_preop_ant";17;17
974746948;2019;"korsband_preop_ant";17;17
974747138;2015;"korsband_preop_ant";21;21
